restaurant_id,name,cuisine_type,location,owner_name,average_delivery_time,contact_number,rating,total_orders
28,"Brown, Williams and Griffin",Indian,496 Christopher Brooks Suite 151,Joseph Hubbard,34,9269587909,5,956
88,"Camacho, Davis and Erickson",Mexican,0482 Gordon Stravenue Suite 541,Alexander Nguyen,31,396-693-6037,6,650
16,"Patrick, Frank and Griffith",Mexican,1966 Bryant Creek Suite 139,Frank Huynh,30,712-907-2090,5,144
57,Russell-Johnson,Italian,"PSC 9053, Box 7429",Vicki Vargas,16,709.699.0070x263,9,388
5,Vincent LLC,Chinese,USS Carr,Daniel George,16,658.616.3312,9,876
77,Spencer Inc,Chinese,"PSC 2940, Box 8536",Dr. Julia Hernandez MD,33,760-675-3710x02170,9,730
60,"Hall, Torres and Tran",Italian,81394 Jose Crescent,Bryan Mathews,55,+1-673-855-1176,1,339
51,Wilson LLC,Italian,9492 Esparza Shoal Apt. 791,April Kramer,58,5469424038,4,340
96,"Lang, Larson and Santana",Indian,Unit 6067 Box 7113,Denise Mccall,35,(934)304-4760x178,9,913
82,"Garcia, Fry and Combs",Italian,4097 Andrew Stream Suite 988,Michele Conley,46,415-310-5557,2,335
93,Weeks-Romero,Indian,4804 Tim Point,Sonya Dalton,49,(581)486-3465,6,195
75,"Wilson, Brooks and Woods",American,USNS Moore,Stacy West,50,001-245-321-3067,2,103
70,Williamson LLC,Indian,USNV Duke,Jessica Smith,38,+1-344-791-4823x917,6,677
43,Lewis Ltd,Mexican,690 Chelsey Inlet,Michael Fuller,40,8433464318,0,736
23,Smith Ltd,Indian,74208 Thomas Bridge,Olivia Lopez,57,443.697.4839,3,764
86,Fox and Sons,Indian,055 John Ferry,Lauren Miller,31,957-713-9458,4,723
19,"Allen, Ramirez and Lester",Mexican,4291 Michael Viaduct Suite 096,Lisa Mendez,20,(600)223-6918x24751,0,718
46,Parker-Burke,Mexican,808 Eric Run,Kyle Allen,18,(216)993-3965,1,846
61,Howard LLC,Indian,200 Hernandez Squares Apt. 086,Wesley Sheppard,19,311-757-7860,6,990
